0,1268,93,1268,93,1368,0,1368
1631,1700,1787,1700,1787,1862,1631,1862
1800,1700,1956,1700,1956,1881,1800,1881
1968,1706,2125,1706,2125,1893,1968,1893
2137,1725,2287,1725,2287,1906,2137,1906
693,2212,743,2212,743,2281,693,2281
693,2275,743,2275,743,2325,693,2325
693,2331,731,2331,731,2381,693,2381
681,2387,725,2387,725,2437,681,2437
668,2456,718,2456,718,2512,668,2512
656,2506,706,2506,706,2568,656,2568
650,2568,700,2568,700,2625,650,2625
656,2637,687,2637,687,2681,656,2681
643,2687,681,2687,681,2737,643,2737
637,2737,675,2737,675,2800,637,2800
625,2806,668,2806,668,2862,625,2862
618,2868,662,2868,662,2925,618,2925
612,2931,656,2931,656,2987,612,2987
593,2987,650,2987,650,3043,593,3043
587,3043,637,3043,637,3112,587,3112
581,3112,631,3112,631,3175,581,3175
568,3175,618,3175,618,3237,568,3237
568,3243,606,3243,606,3312,568,3312
550,3312,606,3312,606,3381,550,3381
550,3381,587,3381,587,3450,550,3450
537,3443,587,3443,587,3506,537,3506
525,3512,575,3512,575,3537,525,3537
2725,3518,2812,3518,2812,3543,2725,3543
