2100,268,2137,268,2137,318,2100,318
2093,318,2137,318,2137,368,2093,368
1456,318,1737,318,1737,650,1456,650
1781,325,2031,325,2031,643,1781,643
743,350,781,350,781,393,743,393
1150,331,1431,331,1431,637,1150,637
831,337,1112,337,1112,631,831,631
2093,368,2131,368,2131,412,2093,412
750,406,781,406,781,456,750,456
2093,456,2125,456,2125,506,2093,506
2087,512,2125,512,2125,556,2087,556
2087,562,2118,562,2118,600,2087,600
2087,600,2118,600,2118,643,2087,643
775,631,800,631,800,668,775,668
1231,1068,1337,1068,1337,1206,1231,1206
1343,1068,1450,1068,1450,1200,1343,1200
1456,1075,1550,1075,1550,1206,1456,1206
1556,1075,1668,1075,1668,1200,1556,1200
737,1518,800,1518,800,1625,737,1625
2068,1525,2143,1525,2143,1637,2068,1637
2068,1662,2150,1662,2150,1793,2068,1793
731,1668,806,1668,806,1793,731,1793
725,1806,787,1806,787,1918,725,1918
2081,1806,2162,1806,2162,1937,2081,1937
2087,1950,2168,1950,2168,2062,2087,2062
718,1968,787,1968,787,2118,718,2118
2100,2100,2175,2100,2175,2225,2100,2225
706,2106,787,2106,787,2231,706,2231
2525,2150,2587,2150,2587,2237,2525,2237
356,2162,412,2162,412,2231,356,2231
356,2237,406,2237,406,2318,356,2318
2537,2237,2587,2237,2587,2318,2537,2318
700,2262,781,2262,781,2368,700,2368
2100,2275,2181,2275,2181,2375,2100,2375
343,2318,400,2318,400,2400,343,2400
2543,2325,2600,2325,2600,2400,2543,2400
2550,2400,2606,2400,2606,2487,2550,2487
337,2406,393,2406,393,2487,337,2487
693,2418,762,2418,762,2537,693,2537
2112,2418,2187,2418,2187,2550,2112,2550
343,2500,381,2500,381,2575,343,2575
2556,2493,2612,2493,2612,2575,2556,2575
325,2581,381,2581,381,2662,325,2662
687,2581,768,2581,768,2731,687,2731
2568,2581,2625,2581,2625,2675,2568,2675
2118,2587,2187,2587,2187,2706,2118,2706
312,2662,375,2662,375,2743,312,2743
2575,2668,2631,2668,2631,2750,2575,2750
675,2750,762,2750,762,2881,675,2881
2131,2756,2206,2756,2206,2887,2131,2887
2143,2912,2206,2912,2206,3056,2143,3056
668,2925,750,2925,750,3068,668,3068
2143,3093,2218,3093,2218,3212,2143,3212
650,3100,756,3100,756,3231,650,3231
1100,3875,1331,3875,1331,3987,1100,3987
1387,3881,1625,3881,1625,3993,1387,3993
