737,937,818,937,818,1025,737,1025
825,950,906,950,906,1031,825,1031
906,962,993,962,993,1043,906,1043
987,968,1081,968,1081,1050,987,1050
1081,981,1156,981,1156,1062,1081,1062
1156,987,1237,987,1237,1068,1156,1068
406,993,481,993,481,1081,406,1081
481,1006,562,1006,562,1081,481,1081
556,1012,637,1012,637,1093,556,1093
637,1012,718,1012,718,1100,637,1100
718,1025,800,1025,800,1112,718,1112
793,1037,875,1037,875,1118,793,1118
868,1050,943,1050,943,1125,868,1125
943,1056,1025,1056,1025,1137,943,1137
1025,1068,1093,1068,1093,1143,1025,1143
1093,1075,1168,1075,1168,1150,1093,1150
1162,1075,1231,1075,1231,1156,1162,1156
1237,1087,1306,1087,1306,1168,1237,1168
1306,1093,1381,1093,1381,1175,1306,1175
1375,1106,1450,1106,1450,1181,1375,1181
1443,1112,1506,1112,1506,1187,1443,1187
775,1131,862,1131,862,1206,775,1206
862,1137,943,1137,943,1218,862,1218
943,1143,1025,1143,1025,1225,943,1225
1025,1156,1106,1156,1106,1225,1025,1225
1106,1168,1175,1168,1175,1231,1106,1231
400,1218,468,1218,468,1281,400,1281
475,1225,537,1225,537,1287,475,1287
537,1231,606,1231,606,1300,537,1300
612,1237,675,1237,675,1300,612,1300
675,1243,737,1243,737,1300,675,1300
831,1256,893,1256,893,1318,831,1318
893,1268,956,1268,956,1325,893,1325
950,1268,1018,1268,1018,1331,950,1331
1012,1275,1075,1275,1075,1331,1012,1331
1081,1287,1131,1287,1131,1337,1081,1337
1206,1293,1262,1293,1262,1350,1206,1350
456,1306,512,1306,512,1350,456,1350
1262,1300,1318,1300,1318,1350,1262,1350
512,1312,562,1312,562,1350,512,1350
568,1312,618,1312,618,1356,568,1356
1325,1306,1381,1306,1381,1362,1325,1362
