332,430,447,443,442,491,327,478
438,440,553,450,548,503,434,492
543,450,650,450,650,506,543,506
637,462,712,462,712,512,637,512
712,475,756,475,756,518,712,518
756,475,850,475,850,525,756,525
850,487,918,487,918,531,850,531
912,493,956,493,956,537,912,537
943,493,1025,493,1025,543,943,543
1018,506,1056,506,1056,543,1018,543
1043,500,1118,500,1118,556,1043,556
1112,512,1156,512,1156,556,1112,556
1143,506,1218,506,1218,562,1143,562
1212,518,1350,518,1350,575,1212,575
1343,525,1418,525,1418,581,1343,581
1418,543,1443,543,1443,581,1418,581
