950,1006,1012,1006,1012,1068,950,1068
1818,1018,1862,1018,1862,1081,1818,1081
2012,1043,2056,1043,2056,1118,2012,1118
1918,1050,1956,1050,1956,1093,1918,1093
2106,1050,2150,1050,2150,1087,2106,1087
1825,1081,1868,1081,1868,1156,1825,1156
950,1081,1006,1081,1006,1143,950,1143
2112,1087,2156,1087,2156,1125,2112,1125
2018,1118,2062,1118,2062,1150,2018,1150
1731,1125,1775,1125,1775,1168,1731,1168
1918,1131,1968,1131,1968,1168,1918,1168
2112,1125,2162,1125,2162,1181,2112,1181
2018,1150,2062,1150,2062,1193,2018,1193
1631,1156,1681,1156,1681,1193,1631,1193
1825,1162,1875,1162,1875,1200,1825,1200
1925,1162,1968,1162,1968,1206,1925,1206
950,1168,993,1168,993,1218,950,1218
1725,1168,1775,1168,1775,1212,1725,1212
2125,1181,2168,1181,2168,1218,2125,1218
1637,1200,1675,1200,1675,1243,1637,1243
1831,1200,1881,1200,1881,1231,1831,1231
2018,1193,2062,1193,2062,1243,2018,1243
1725,1206,1781,1206,1781,1250,1725,1250
1925,1206,1975,1206,1975,1300,1925,1300
2125,1212,2175,1212,2175,1256,2125,1256
1525,1218,1575,1218,1575,1256,1525,1256
950,1231,993,1231,993,1268,950,1268
1825,1225,1881,1225,1881,1325,1825,1325
1637,1237,1675,1237,1675,1275,1637,1275
1725,1237,1787,1237,1787,1325,1725,1325
2018,1237,2081,1237,2081,1325,2018,1325
1518,1250,1581,1250,1581,1300,1518,1300
2125,1250,2181,1250,2181,1306,2125,1306
1637,1268,1681,1268,1681,1306,1637,1306
931,1281,993,1281,993,1362,931,1362
1937,1293,1981,1293,1981,1350,1937,1350
1531,1300,1587,1300,1587,1343,1531,1343
2131,1306,2181,1306,2181,1343,2131,1343
1631,1306,1681,1306,1681,1356,1631,1356
1737,1325,1781,1325,1781,1362,1737,1362
1831,1331,1887,1331,1887,1381,1831,1381
1525,1337,1581,1337,1581,1387,1525,1387
2131,1337,2181,1337,2181,1393,2131,1393
1637,1350,1693,1350,1693,1387,1637,1387
1931,1343,1987,1343,1987,1400,1931,1400
1737,1362,1787,1362,1787,1406,1737,1406
943,1368,987,1368,987,1412,943,1412
1831,1375,1881,1375,1881,1437,1831,1437
1637,1387,1687,1387,1687,1431,1637,1431
1531,1393,1581,1393,1581,1431,1531,1431
1943,1393,1993,1393,1993,1443,1943,1443
2143,1393,2187,1393,2187,1443,2143,1443
1737,1406,1787,1406,1787,1450,1737,1450
1643,1425,1687,1425,1687,1481,1643,1481
931,1425,981,1425,981,1481,931,1481
1525,1425,1581,1425,1581,1481,1525,1481
1831,1431,1893,1431,1893,1487,1831,1487
1737,1437,1793,1437,1793,1487,1737,1487
2137,1437,2193,1437,2193,1487,2137,1487
